prior,method,z0,lower,upper,length,theta_true
Spiky,DKW-F,-3.0,-3.803833149615375,-0.06409991585282152,3.7397332337625535,-1.838232151509295
Spiky,Gauss-F,-3.0,-3.824370048091839,0.04932625841685638,3.8736963065086956,-1.838232151509295
Spiky,Smooth-W₁ (CLT),-3.0,-3.388784226512576,-0.11858519443061741,3.2701990320819587,-1.838232151509295
Spiky,W₁ (CLT),-3.0,-3.347729467492914,-0.13402591935437852,3.213703548138535,-1.838232151509295
Spiky,W₁ (DKW),-3.0,-4.807930981726036,0.6975297526536203,5.505460734379657,-1.838232151509295
Spiky,W₁ (boot),-3.0,-3.323778321470904,-0.14645398843495733,3.177324333035947,-1.838232151509295
Spiky,DKW-F,-2.5,-2.745667334365406,0.15850905142594837,2.9041763857913545,-1.2703510493065493
Spiky,Gauss-F,-2.5,-2.712757771270671,0.04953013103057145,2.7622879023012428,-1.2703510493065493
Spiky,Smooth-W₁ (CLT),-2.5,-2.4689380473190026,-0.05350020241426197,2.4154378449047407,-1.2703510493065493
Spiky,W₁ (CLT),-2.5,-2.4356471540271207,-0.07165814445317334,2.3639890095739475,-1.2703510493065493
Spiky,W₁ (DKW),-2.5,-3.8437717386107435,0.7148306465642045,4.558602385174948,-1.2703510493065493
Spiky,W₁ (boot),-2.5,-2.4144089885015987,-0.08463423269016254,2.329774755811436,-1.2703510493065493
Spiky,DKW-F,-2.0,-1.8666921134084649,0.19772869358041603,2.0644208069888808,-0.8174405959520651
Spiky,Gauss-F,-2.0,-1.8338754267642166,0.049744406345369155,1.8836198331095857,-0.8174405959520651
Spiky,Smooth-W₁ (CLT),-2.0,-1.717089786335483,-0.008065490153448162,1.7090242961820348,-0.8174405959520651
Spiky,W₁ (CLT),-2.0,-1.6952878406944099,-0.023119043300633496,1.6721687973937764,-0.8174405959520651
Spiky,W₁ (DKW),-2.0,-3.003961278167377,0.7747469847953912,3.778708262962768,-0.8174405959520651
Spiky,W₁ (boot),-2.0,-1.6779528943650313,-0.03449260544983003,1.6434602889152012,-0.8174405959520651
Spiky,DKW-F,-1.5,-1.2586190052919701,0.22152701190457957,1.4801460171965497,-0.5004711519786452
Spiky,Gauss-F,-1.5,-1.1740680715284868,0.05839714570193588,1.2324652172304227,-0.5004711519786452
Spiky,Smooth-W₁ (CLT),-1.5,-1.1675637217938917,0.05882167245747122,1.226385394251363,-0.5004711519786452
Spiky,W₁ (CLT),-1.5,-1.151822149659647,0.04737243096224395,1.1991945806218909,-0.5004711519786452
Spiky,W₁ (DKW),-1.5,-2.3146929625033166,0.8101902833341864,3.124883245837503,-0.5004711519786452
Spiky,W₁ (boot),-1.5,-1.1384225822507759,0.037447741208905615,1.1758703234596815,-0.5004711519786452
Spiky,DKW-F,-1.0,-0.8545442853581182,0.2675277664454794,1.1220720518035976,-0.285620268437118
Spiky,Gauss-F,-1.0,-0.7585922397820832,0.09274288057911621,0.8513351203611994,-0.285620268437118
Spiky,Smooth-W₁ (CLT),-1.0,-0.7895594193307746,0.1402656637785246,0.9298250831092991,-0.285620268437118
Spiky,W₁ (CLT),-1.0,-0.7773751356638441,0.13129830831170392,0.908673443975548,-0.285620268437118
Spiky,W₁ (DKW),-1.0,-1.7885037640011654,0.877971299555478,2.6664750635566437,-0.285620268437118
Spiky,W₁ (boot),-1.0,-0.7667947428360302,0.1226857261292678,0.889480468965298,-0.285620268437118
Spiky,DKW-F,-0.5,-0.5850593413421586,0.3324864404169363,0.917545781759095,-0.1299149880633931
Spiky,Gauss-F,-0.5,-0.48663017497333083,0.1772338774974308,0.6638640524707616,-0.1299149880633931
Spiky,Smooth-W₁ (CLT),-0.5,-0.5322661340901221,0.24023586642252762,0.7725020005126497,-0.1299149880633931
Spiky,W₁ (CLT),-0.5,-0.520160018845696,0.23343553410194823,0.7535955529476441,-0.1299149880633931
Spiky,W₁ (DKW),-0.5,-1.4082196247631582,0.9884828075877378,2.396702432350896,-0.1299149880633931
Spiky,W₁ (boot),-0.5,-0.5115268603365802,0.22510357036076592,0.7366304306973461,-0.1299149880633931
