prior,method,z0,lower,upper,length,theta_true
NegSpiky,DKW-F,-3.0,-3.3068340207813063,-0.10934386365482819,3.197490157126478,-0.8501267707089855
NegSpiky,Gauss-F,-3.0,-3.4545778423192557,-0.06866146336992654,3.385916378949329,-0.8501267707089855
NegSpiky,Smooth-W₁ (CLT),-3.0,-2.691692949546939,-0.13287249235792595,2.558820457189013,-0.8501267707089855
NegSpiky,W₁ (CLT),-3.0,-2.632478146860187,-0.13656414356069693,2.49591400329949,-0.8501267707089855
NegSpiky,W₁ (DKW),-3.0,-4.420970122891886,0.5421575980246527,4.963127720916538,-0.8501267707089855
NegSpiky,W₁ (boot),-3.0,-2.6040810122744764,-0.14206200133119581,2.4620190109432807,-0.8501267707089855
NegSpiky,DKW-F,-2.5,-2.1900077898046257,-0.00908624271107424,2.1809215470935515,-0.6362421111726565
NegSpiky,Gauss-F,-2.5,-2.260041599330056,-0.06845901075883136,2.1915825885712246,-0.6362421111726565
NegSpiky,Smooth-W₁ (CLT),-2.5,-1.757654519511609,-0.12669277009635554,1.6309617494152533,-0.6362421111726565
NegSpiky,W₁ (CLT),-2.5,-1.7148567487211828,-0.13097855488971136,1.5838781938314714,-0.6362421111726565
NegSpiky,W₁ (DKW),-2.5,-3.456714210047815,0.5451531814225067,4.001867391470322,-0.6362421111726565
NegSpiky,W₁ (boot),-2.5,-1.6918432568725226,-0.13643962888560549,1.555403627986917,-0.6362421111726565
NegSpiky,DKW-F,-2.0,-1.4084812581737411,0.010600347352725036,1.4190816055264661,-0.49577071993207994
NegSpiky,Gauss-F,-2.0,-1.4378525885188211,-0.06825592768669311,1.369596660832128,-0.49577071993207994
NegSpiky,Smooth-W₁ (CLT),-2.0,-1.147606114660277,-0.120731694136363,1.026874420523914,-0.49577071993207994
NegSpiky,W₁ (CLT),-2.0,-1.1241969976991935,-0.12540499715346692,0.9987920005457265,-0.49577071993207994
NegSpiky,W₁ (DKW),-2.0,-2.644734194091757,0.5571948093374934,3.2019290034292505,-0.49577071993207994
NegSpiky,W₁ (boot),-2.0,-1.1090831397350573,-0.1307986233240431,0.9782845164110142,-0.49577071993207994
NegSpiky,DKW-F,-1.5,-0.9426819126828274,0.015230223263500792,0.9579121359463282,-0.39945336522151625
NegSpiky,Gauss-F,-1.5,-0.9664798911675632,-0.06759787484903845,0.8988820163185247,-0.39945336522151625
NegSpiky,Smooth-W₁ (CLT),-1.5,-0.791490697051896,-0.10601675565646725,0.6854739413954287,-0.39945336522151625
NegSpiky,W₁ (CLT),-1.5,-0.7798743156545578,-0.1107868075422465,0.6690875081123113,-0.39945336522151625
NegSpiky,W₁ (DKW),-1.5,-2.0191827014787176,0.5745667757765204,2.593749477255238,-0.39945336522151625
NegSpiky,W₁ (boot),-1.5,-0.7709827908230531,-0.11587244060686866,0.6551103502161845,-0.39945336522151625
NegSpiky,DKW-F,-1.0,-0.6933486668353097,0.03194789977820815,0.7252965666135178,-0.32624740559870014
NegSpiky,Gauss-F,-1.0,-0.677687616024659,-0.05903537616146903,0.61865223986319,-0.32624740559870014
NegSpiky,Smooth-W₁ (CLT),-1.0,-0.5870144443376597,-0.07832251141659843,0.5086919329210613,-0.32624740559870014
NegSpiky,W₁ (CLT),-1.0,-0.5810973526660532,-0.08338779760882982,0.4977095550572234,-0.32624740559870014
NegSpiky,W₁ (DKW),-1.0,-1.578643964308937,0.6163380074822558,2.1949819717911927,-0.32624740559870014
NegSpiky,W₁ (boot),-1.0,-0.5752700726673154,-0.0882266863589086,0.4870433863084068,-0.32624740559870014
NegSpiky,DKW-F,-0.5,-0.5564449066287497,0.07014275427666292,0.6265876609054126,-0.2625019545746739
NegSpiky,Gauss-F,-0.5,-0.5031250185715802,-0.02414526491948678,0.47897975365209344,-0.2625019545746739
NegSpiky,Smooth-W₁ (CLT),-0.5,-0.46455897194391776,-0.03145452089471934,0.4331044510491984,-0.2625019545746739
NegSpiky,W₁ (CLT),-0.5,-0.461674632605017,-0.0364615250629862,0.4252131075420308,-0.2625019545746739
NegSpiky,W₁ (DKW),-0.5,-1.2928602159717801,0.7013777299598918,1.994237945931672,-0.2625019545746739
NegSpiky,W₁ (boot),-0.5,-0.457057821777771,-0.04100862046562228,0.41604920131214873,-0.2625019545746739
NegSpiky,DKW-F,0.0,-0.4767149367069667,0.14023858272948936,0.616953519436456,-0.19811636033439797
NegSpiky,Gauss-F,0.0,-0.4021530805523762,0.068979801251253,0.4711328818036292,-0.19811636033439797
NegSpiky,Smooth-W₁ (CLT),0.0,-0.38639525510555484,0.0440550722100476,0.43045032731560245,-0.19811636033439797
NegSpiky,W₁ (CLT),0.0,-0.38360621848710263,0.03898246733671131,0.4225886858238139,-0.19811636033439797
NegSpiky,W₁ (DKW),0.0,-1.1175190496020817,0.8561647999969793,1.973683849599061,-0.19811636033439797
NegSpiky,W₁ (boot),0.0,-0.3797411058553277,0.034387076630168975,0.4141281824854967,-0.19811636033439797
NegSpiky,DKW-F,0.5,-0.43256659194061375,0.2650071530354502,0.697573744976064,-0.12274155445787531
NegSpiky,Gauss-F,0.5,-0.34659061787812384,0.23739801075687464,0.5839886286349985,-0.12274155445787531
