prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,2.5,-6.84977534357723,54.42693336947522,20,20,0,0.6784642267246147,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,2.5,-6.513543047205055,56.62140529301884,20,20,0,0.6784642267246147,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),2.5,-18.207356651750302,76.12664294265873,20,20,0,0.6784642267246147,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),2.5,-4.717272938049676,41.93037656899585,20,20,0,0.6784642267246147,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),2.5,-4.858241690120983,42.5478070496193,20,20,0,0.6784642267246147,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),2.5,-4.904504257522623,43.14951373502754,20,20,0,0.6784642267246147,21,40,2,20,40
