prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-3.0,-76.23685840174322,-1.303860689199181,20,20,0,-1.838232151509295,1,20,1,20,40
Spiky,spiky,Gauss-F,-3.0,-76.11533968455895,0.888745170648635,20,20,0,-1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (DKW),-3.0,-96.2663381481692,14.00905218485697,20,20,0,-1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (boot),-3.0,-66.76147201453028,-2.6828110769118907,20,20,0,-1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (CLT),-3.0,-67.11361230025145,-2.5164834633256987,20,20,0,-1.838232151509295,1,20,1,20,40
Spiky,spiky,Smooth-W₁ (CLT),-3.0,-67.96382025391117,-2.222821679625817,20,20,0,-1.838232151509295,1,20,1,20,40
