prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-2.5,-54.844016661405796,3.2965168613314226,20,20,0,-1.2703510493065493,1,20,1,20,40
Spiky,spiky,Gauss-F,-2.5,-54.48409353701384,0.8927400579686569,20,20,0,-1.2703510493065493,1,20,1,20,40
Spiky,spiky,W₁ (DKW),-2.5,-76.96911609819968,14.3500727242936,20,20,0,-1.2703510493065493,1,20,1,20,40
Spiky,spiky,W₁ (boot),-2.5,-48.53799798882198,-1.4186366314821874,20,20,0,-1.2703510493065493,1,20,1,20,40
Spiky,spiky,W₁ (CLT),-2.5,-48.86790765057976,-1.257614024840948,20,20,0,-1.2703510493065493,1,20,1,20,40
Spiky,spiky,Smooth-W₁ (CLT),-2.5,-49.52713925863664,-0.8924808490793852,20,20,0,-1.2703510493065493,1,20,1,20,40
