prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-1.0,-17.22861104290304,5.3269970747479025,20,20,0,-0.285620268437118,21,40,2,20,40
Spiky,spiky,Gauss-F,-1.0,-15.395212727666994,1.8561304270441983,20,20,0,-0.285620268437118,21,40,2,20,40
Spiky,spiky,W₁ (DKW),-1.0,-35.83626846144987,17.521909248483205,20,20,0,-0.285620268437118,21,40,2,20,40
Spiky,spiky,W₁ (boot),-1.0,-15.408782912776674,2.326856146114196,20,20,0,-0.285620268437118,21,40,2,20,40
Spiky,spiky,W₁ (CLT),-1.0,-15.650568046402789,2.549729326198264,20,20,0,-0.285620268437118,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),-1.0,-15.79756180191857,2.674586734577802,20,20,0,-0.285620268437118,21,40,2,20,40
