prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,1.5,-3.894225359393249,24.944423582016512,20,20,0,0.5004711519786452,21,40,2,20,40
Spiky,spiky,Gauss-F,1.5,-0.5999799362275624,23.388558041906624,20,20,0,0.5004711519786452,21,40,2,20,40
Spiky,spiky,W₁ (DKW),1.5,-15.84514219906946,46.36213542792755,20,20,0,0.5004711519786452,21,40,2,20,40
Spiky,spiky,W₁ (boot),1.5,-0.31569745345623973,22.944275923433867,20,20,0,0.5004711519786452,21,40,2,20,40
Spiky,spiky,W₁ (CLT),1.5,-0.5618971520395342,23.243709284492454,20,20,0,0.5004711519786452,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),1.5,-0.7303069394978752,23.585828483462883,20,20,0,0.5004711519786452,21,40,2,20,40
