prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,0.5,-8.79592235515765,5.374266311395516,20,20,0,-0.12274155445787531,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,0.5,-6.993644566690069,5.081639955080055,20,20,0,-0.12274155445787531,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),0.5,-20.352832308639464,22.366654315742007,20,20,0,-0.12274155445787531,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),0.5,-6.552954806751557,3.117284197070816,20,20,0,-0.12274155445787531,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),0.5,-6.660051279971323,3.2590582095558314,20,20,0,-0.12274155445787531,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),0.5,-6.724745661396925,3.3246659559560134,20,20,0,-0.12274155445787531,21,40,2,20,40
