prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,1.0,-1.7240150169771562,6.09697278478436,7,7,13,0.285620268437118,1,20,1,20,40
Spiky,spiky,Gauss-F,1.0,-0.5126621442247745,5.20003763393075,7,7,13,0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (DKW),1.0,-6.841575102519926,14.338471695339756,8,8,12,0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (boot),1.0,-0.8898010129873359,6.276804664869973,8,8,12,0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (CLT),1.0,-0.9246976167354426,6.311183025513253,8,8,12,0.285620268437118,1,20,1,20,40
Spiky,spiky,Smooth-W₁ (CLT),1.0,-1.009861597052306,6.4381705669202045,8,8,12,0.285620268437118,1,20,1,20,40
