prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-3.0,-62.83031051677404,-2.0064678967238074,19,19,1,-0.8501267707089855,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,-3.0,-69.2573991192918,-1.3061997372176397,20,20,0,-0.8501267707089855,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),-3.0,-88.45182207125904,10.838274843185184,20,20,0,-0.8501267707089855,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),-3.0,-52.24490881317504,-2.7078830755303662,20,20,0,-0.8501267707089855,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),-3.0,-52.67107781491733,-2.6459701559223507,20,20,0,-0.8501267707089855,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-3.0,-53.94018772388278,-2.5689261515855857,20,20,0,-0.8501267707089855,1,20,1,20,40
