prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,2.5,-6.721566514398572,53.71585137856301,20,20,0,0.6784642267246147,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,2.5,-6.2640272510647375,56.098044405245595,20,20,0,0.6784642267246147,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),2.5,-18.20873307555663,76.0568759941504,20,20,0,0.6784642267246147,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),2.5,-4.891743492026421,41.787754580356314,20,20,0,0.6784642267246147,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),2.5,-4.99421495967894,42.063190788092214,20,20,0,0.6784642267246147,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),2.5,-5.0600823052619415,42.76814253473162,20,20,0,0.6784642267246147,1,20,1,20,40
