prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-1.0,-16.953160371421685,5.374113583071272,20,20,0,-0.285620268437118,1,20,1,20,40
Spiky,spiky,Gauss-F,-1.0,-14.948476863616337,1.8535847961204506,20,20,0,-0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (DKW),-1.0,-35.70388209859674,17.596942733735915,20,20,0,-0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (boot),-1.0,-15.263006800664531,2.5805728990565155,20,20,0,-0.285620268437118,1,20,1,20,40
Spiky,spiky,W₁ (CLT),-1.0,-15.444437380150976,2.702203006269892,20,20,0,-0.285620268437118,1,20,1,20,40
Spiky,spiky,Smooth-W₁ (CLT),-1.0,-15.674748998808347,2.8803088383388395,20,20,0,-0.285620268437118,1,20,1,20,40
