prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,0.5,-8.5067413224669,5.226019810022491,20,20,0,-0.12274155445787531,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,0.5,-6.869980148434883,4.41428047519493,20,20,0,-0.12274155445787531,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),0.5,-20.30120828044604,22.235319404561533,20,20,0,-0.12274155445787531,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),0.5,-6.550132462695544,3.0707548565118135,20,20,0,-0.12274155445787531,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),0.5,-6.593326114203719,3.1421920968090578,20,20,0,-0.12274155445787531,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),0.5,-6.6344161751795845,3.2016061574402253,20,20,0,-0.12274155445787531,1,20,1,20,40
