prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,2.0,-8.057686812871308,33.30955935355041,20,20,0,0.3524647433009833,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,2.0,-6.5177988388339605,34.73056642357338,20,20,0,0.3524647433009833,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),2.0,-18.48713076150537,57.53370313106033,20,20,0,0.3524647433009833,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),2.0,-4.88021949588733,24.990518770513813,20,20,0,0.3524647433009833,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),2.0,-5.014666706859192,25.44458590485685,20,20,0,0.3524647433009833,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),2.0,-5.069570562314359,25.85950412907084,20,20,0,0.3524647433009833,21,40,2,20,40
