prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,0.5,-2.403816145500263,4.160492144402374,7,7,13,0.1299149880633931,21,40,2,20,40
Spiky,spiky,Gauss-F,0.5,-1.095998680054064,3.2251008577540734,7,7,13,0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (DKW),0.5,-7.898415572306491,11.138403840977059,8,8,12,0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (boot),0.5,-1.8341313721043444,3.8740173507643334,8,8,12,0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (CLT),0.5,-1.9310143660387586,3.985161862313845,8,8,12,0.1299149880633931,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),0.5,-2.007402370043657,4.093623454256195,8,8,12,0.1299149880633931,21,40,2,20,40
