prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-3.0,-75.91646758287179,-1.260135944913679,20,20,0,-1.838232151509295,21,40,2,20,40
Spiky,spiky,Gauss-F,-3.0,-76.8594622391146,1.0843051660256204,20,20,0,-1.838232151509295,21,40,2,20,40
Spiky,spiky,W₁ (DKW),-3.0,-96.05090112087228,13.892137921287839,20,20,0,-1.838232151509295,21,40,2,20,40
Spiky,spiky,W₁ (boot),-3.0,-66.18966084430589,-3.1753484604864024,20,20,0,-1.838232151509295,21,40,2,20,40
Spiky,spiky,W₁ (CLT),-3.0,-66.79556639946513,-2.844553310849442,20,20,0,-1.838232151509295,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),-3.0,-67.38701654688617,-2.5671741050403147,20,20,0,-1.838232151509295,21,40,2,20,40
