prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,1.0,-8.12221500317472,9.855814372263946,20,20,0,-0.021952035113312816,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,1.0,-6.344424759796454,9.278551691699068,20,20,0,-0.021952035113312816,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),1.0,-19.213817202182817,30.28359494536777,20,20,0,-0.021952035113312816,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),1.0,-5.821347571697346,6.888916024770888,20,20,0,-0.021952035113312816,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),1.0,-5.87736592047827,6.979460535888197,20,20,0,-0.021952035113312816,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),1.0,-5.979606860770147,7.1655200377582275,20,20,0,-0.021952035113312816,1,20,1,20,40
