prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,0.0,-9.698606257331406,2.8963507193737277,20,20,0,-0.19811636033439797,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,0.0,-8.116129763137373,1.5824415451692087,20,20,0,-0.19811636033439797,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),0.0,-22.378192501832352,17.129675545287196,20,20,0,-0.19811636033439797,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),0.0,-7.61729896672784,0.629048310753257,20,20,0,-0.19811636033439797,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),0.0,-7.727032208678796,0.7440595963182546,20,20,0,-0.19811636033439797,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),0.0,-7.7711717081240606,0.8335199287170552,20,20,0,-0.19811636033439797,21,40,2,20,40
