prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,0.0,-9.369991210947264,2.7131925898058467,20,20,0,-0.19811636033439797,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,0.0,-7.969993458957675,1.1767505048809117,20,20,0,-0.19811636033439797,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),0.0,-22.32256948225092,17.11691645459198,20,20,0,-0.19811636033439797,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),0.0,-7.572345267485268,0.746434754453502,20,20,0,-0.19811636033439797,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),0.0,-7.617216530805307,0.815239097150198,20,20,0,-0.19811636033439797,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),0.0,-7.642892913170662,0.8689478657268372,20,20,0,-0.19811636033439797,1,20,1,20,40
