prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-0.5,-11.330576080198993,1.450154147991538,20,20,0,-0.2625019545746739,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,-0.5,-10.32340560205242,-0.5652946574742556,20,20,0,-0.2625019545746739,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),-0.5,-25.891676145552907,14.00296214619981,20,20,0,-0.2625019545746739,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),-0.5,-9.169162918873974,-0.9088132447549192,20,20,0,-0.2625019545746739,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),-0.5,-9.297459240612875,-0.8020593500415482,20,20,0,-0.2625019545746739,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-0.5,-9.350765748456908,-0.7049760923377301,20,20,0,-0.2625019545746739,21,40,2,20,40
