prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-1.5,-18.959996048379683,0.3271349028834726,20,20,0,-0.39945336522151625,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,-1.5,-19.83439820955395,-1.4133313347934273,20,20,0,-0.39945336522151625,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),-1.5,-40.4543163719535,11.486027770562703,20,20,0,-0.39945336522151625,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),-1.5,-15.499419945218422,-2.4204685096681424,20,20,0,-0.39945336522151625,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),-1.5,-15.733616413551406,-2.2905852968443465,20,20,0,-0.39945336522151625,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-1.5,-15.802513734769047,-2.232620666605915,20,20,0,-0.39945336522151625,21,40,2,20,40
