prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-0.5,-11.8927031469006,6.731047362891725,20,20,0,-0.1299149880633931,21,40,2,20,40
Spiky,spiky,Gauss-F,-0.5,-10.019761800587293,3.3523484123440213,20,20,0,-0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (DKW),-0.5,-28.219658829146166,19.727529011996545,20,20,0,-0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (boot),-0.5,-10.282763140531811,4.398056324265841,20,20,0,-0.1299149880633931,21,40,2,20,40
Spiky,spiky,W₁ (CLT),-0.5,-10.491192086600808,4.5941622110981335,20,20,0,-0.1299149880633931,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),-0.5,-10.633918456812303,4.665913604801885,20,20,0,-0.1299149880633931,21,40,2,20,40
