prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-2.0,-28.19424082047896,0.18653335450408964,20,20,0,-0.49577071993207994,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,-2.0,-28.323764715343287,-1.298775507376737,20,20,0,-0.49577071993207994,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),-2.0,-52.81093044152548,11.144538882927739,20,20,0,-0.49577071993207994,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),-2.0,-22.04192840007896,-2.486212597941564,20,20,0,-0.49577071993207994,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),-2.0,-22.27076675703199,-2.4156959942224923,20,20,0,-0.49577071993207994,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-2.0,-22.578947844136373,-2.3631331458090052,20,20,0,-0.49577071993207994,1,20,1,20,40
