prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-0.5,-10.927220184950995,1.3555560230749784,20,20,0,-0.2625019545746739,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,-0.5,-9.80159514081079,-0.4005159393052156,20,20,0,-0.2625019545746739,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),-0.5,-25.8227324933183,14.052147052195862,20,20,0,-0.2625019545746739,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),-0.5,-9.113149952236864,-0.7315315738699719,20,20,0,-0.2625019545746739,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),-0.5,-9.169526063587805,-0.6564016524778999,20,20,0,-0.2625019545746739,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-0.5,-9.203814846391369,-0.6043870741604057,20,20,0,-0.2625019545746739,1,20,1,20,40
