prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-2.5,-54.98267671321044,3.0438451957065125,20,20,0,-1.2703510493065493,21,40,2,20,40
Spiky,spiky,Gauss-F,-2.5,-54.02621731381299,1.0884651832542012,20,20,0,-1.2703510493065493,21,40,2,20,40
Spiky,spiky,W₁ (DKW),-2.5,-76.78175344623006,14.243153138274579,20,20,0,-1.2703510493065493,21,40,2,20,40
Spiky,spiky,W₁ (boot),-2.5,-48.03836155124196,-1.9667326761243145,20,20,0,-1.2703510493065493,21,40,2,20,40
Spiky,spiky,W₁ (CLT),-2.5,-48.55797851050508,-1.6087117532859858,20,20,0,-1.2703510493065493,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),-2.5,-49.23038263412348,-1.2475272474910937,20,20,0,-1.2703510493065493,21,40,2,20,40
