prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-2.5,-43.79007144577098,-0.15823616420650313,20,20,0,-0.6362421111726565,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,-2.5,-45.277565727302154,-1.4358720079876606,20,20,0,-0.6362421111726565,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),-2.5,-69.142222472881,10.905872620512213,20,20,0,-0.6362421111726565,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),-2.5,-33.84904901228698,-2.870591319201979,20,20,0,-0.6362421111726565,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),-2.5,-34.42714134617436,-2.7154755255002425,20,20,0,-0.6362421111726565,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-2.5,-34.93354182304718,-2.658145214440416,20,20,0,-0.6362421111726565,21,40,2,20,40
