prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-2.5,-43.81024014641406,-0.20521354423646654,20,20,0,-0.6362421111726565,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,-2.5,-45.124098245900086,-1.3024884223655941,20,20,0,-0.6362421111726565,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),-2.5,-69.1263459290316,10.900254636388057,20,20,0,-0.6362421111726565,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),-2.5,-33.82468126261392,-2.5869938362222396,20,20,0,-0.6362421111726565,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),-2.5,-34.167128602672946,-2.5236666700882115,20,20,0,-0.6362421111726565,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-2.5,-34.71360508969417,-2.470607330422453,20,20,0,-0.6362421111726565,1,20,1,20,40
