prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,3.0,-5.516325467008964,79.21161761796917,20,20,0,1.0862713932428893,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,3.0,-6.509356601874559,81.70511594098497,20,20,0,1.0862713932428893,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),3.0,-18.202912157882636,96.89721008900815,20,20,0,1.0862713932428893,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),3.0,-4.568924847655953,63.91365955896863,20,20,0,1.0862713932428893,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),3.0,-4.717409015170442,64.59439840108253,20,20,0,1.0862713932428893,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),3.0,-4.759290577980731,65.2629205245273,20,20,0,1.0862713932428893,21,40,2,20,40
