prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,3.0,1.8414313424811104,75.5023705068101,20,20,0,1.838232151509295,1,20,1,20,40
Spiky,spiky,Gauss-F,3.0,0.08921216628314337,75.09027177647391,20,20,0,1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (DKW),3.0,-13.347801986976593,95.59744281117602,20,20,0,1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (boot),3.0,3.4173767087552043,65.84484931047866,20,20,0,1.838232151509295,1,20,1,20,40
Spiky,spiky,W₁ (CLT),3.0,3.1626339740366496,66.23441391440903,20,20,0,1.838232151509295,1,20,1,20,40
Spiky,spiky,Smooth-W₁ (CLT),3.0,2.920485483825665,66.9488637969368,20,20,0,1.838232151509295,1,20,1,20,40
