prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-3.0,-66.13621629369692,-2.2579427858144916,20,20,0,-0.8501267707089855,21,40,2,20,40
NegSpiky,negspiky,Gauss-F,-3.0,-68.92571457347843,-1.440258797579422,20,20,0,-0.8501267707089855,21,40,2,20,40
NegSpiky,negspiky,W₁ (DKW),-3.0,-88.3869828444164,10.848029077800922,20,20,0,-0.8501267707089855,21,40,2,20,40
NegSpiky,negspiky,W₁ (boot),-3.0,-51.91833167780401,-2.974596977717466,20,20,0,-0.8501267707089855,21,40,2,20,40
NegSpiky,negspiky,W₁ (CLT),-3.0,-52.62804805949014,-2.816595586505526,20,20,0,-0.8501267707089855,21,40,2,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-3.0,-53.363786354812106,-2.764664160673094,20,20,0,-0.8501267707089855,21,40,2,20,40
