prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
NegSpiky,negspiky,DKW-F,-1.0,-13.678463088473583,0.5662523319568885,20,20,0,-0.32624740559870014,1,20,1,20,40
NegSpiky,negspiky,Gauss-F,-1.0,-13.116604762856673,-1.0939898928856369,20,20,0,-0.32624740559870014,1,20,1,20,40
NegSpiky,negspiky,W₁ (DKW),-1.0,-31.498819909504714,12.349181809095652,20,20,0,-0.32624740559870014,1,20,1,20,40
NegSpiky,negspiky,W₁ (boot),-1.0,-11.462439504097885,-1.6722655802104567,20,20,0,-0.32624740559870014,1,20,1,20,40
NegSpiky,negspiky,W₁ (CLT),-1.0,-11.53667169651174,-1.5993225368736048,20,20,0,-0.32624740559870014,1,20,1,20,40
NegSpiky,negspiky,Smooth-W₁ (CLT),-1.0,-11.673845376272945,-1.500188147382916,20,20,0,-0.32624740559870014,1,20,1,20,40
