prior,prior_key,method,z0,lower_sum,upper_sum,cover_cnt,n_valid,n_failed,theta_true,rep_start,rep_end,block,block_size,nreps_total
Spiky,spiky,DKW-F,-2.0,-37.615115580622756,3.820829114772511,20,20,0,-0.8174405959520651,21,40,2,20,40
Spiky,spiky,Gauss-F,-2.0,-36.49697157366464,1.0927788360636472,20,20,0,-0.8174405959520651,21,40,2,20,40
Spiky,spiky,W₁ (DKW),-2.0,-60.03107045087999,15.42595166800982,20,20,0,-0.8174405959520651,21,40,2,20,40
Spiky,spiky,W₁ (boot),-2.0,-33.43938860252432,-0.9405855987966136,20,20,0,-0.8174405959520651,21,40,2,20,40
Spiky,spiky,W₁ (CLT),-2.0,-33.860607356759274,-0.626376664074359,20,20,0,-0.8174405959520651,21,40,2,20,40
Spiky,spiky,Smooth-W₁ (CLT),-2.0,-34.159251302967974,-0.3836903126695565,20,20,0,-0.8174405959520651,21,40,2,20,40
