z0,lower_DKW_F_Loc,upper_DKW_F_Loc,lower_Gauss_F_Loc,upper_Gauss_F_Loc,lower_Wasserstein_DKW,upper_Wasserstein_DKW,lower_Wasserstein_bootstrap,upper_Wasserstein_bootstrap,lower_Wasserstein_clt,upper_Wasserstein_clt,lower_Smoothed_Wasserstein_clt,upper_Smoothed_Wasserstein_clt
-3.0,-2.376928351759091,-0.1774676296866569,-2.4619960046167213,-0.19968827336482037,-2.8162479548801453,0.011454221012867277,-2.0558475983678686,-0.20849498208032666,-2.029376891733806,-0.21447022245536224,-2.0732605783100286,-0.20868017997256616
-2.8,-2.034894058149712,-0.165693779977011,-2.1630238908653925,-0.18780741836983378,-2.668377568024198,0.023221816386080646,-1.6658332531921822,-0.19661965308530346,-1.6397302889833199,-0.20260865628062186,-1.6851600398890958,-0.1967926936670647
-2.6,-1.6503012490833289,-0.15392001234302224,-1.790602123154856,-0.1759237409056422,-2.4392634100107236,0.03498938504387711,-1.325502884220667,-0.18473720998026172,-1.3027891346035343,-0.19073537322599787,-1.3447553738170863,-0.1848918593112461
-2.4,-1.2746533778166442,-0.14214632608052513,-1.4012591032502812,-0.16403574390533063,-2.112177794324317,0.04675692839033996,-1.058642570496567,-0.17284517611465638,-1.0395135293311428,-0.17884582999575677,-1.0725032231455043,-0.17297454336002438
-2.2,-0.9748981087869466,-0.13037272049080068,-1.0980772572303714,-0.1521411206722753,-1.7810835387636326,0.058524446124717355,-0.8519453944581585,-0.16093796364167923,-0.837135747450021,-0.16692736758208637,-0.8577167925217407,-0.1610350443899886
-2.0,-0.7634238462341664,-0.11859919488054475,-0.8667457669286951,-0.14023630709900647,-1.4928754936652169,0.0702919388053028,-0.6868640408424679,-0.14900335093478026,-0.6755865044782781,-0.15497047880685383,-0.6892198840072894,-0.1490646390140177
-1.7999999999999998,-0.5939575981689071,-0.10682574856183753,-0.675321329952482,-0.12831577810230477,-1.249991637597774,0.0820594071441742,-0.5512589963149889,-0.13042894780577405,-0.5423765282393015,-0.13458865517349852,-0.5529628904142888,-0.13035115960945282
-1.5999999999999999,-0.4615631102034241,-0.09505238085211193,-0.5215031999962616,-0.1163709365326596,-1.0489788891429528,0.09382685207905474,-0.44145807888289906,-0.10641323115862945,-0.4343151990718121,-0.10873291399383046,-0.44226291483235625,-0.10719704492144866
-1.4,-0.37006952904365537,-0.08320123407218843,-0.4182705153918868,-0.10438595082895676,-0.8824938524341257,0.10562151170885613,-0.35541370249988524,-0.07861341175417741,-0.3495912347375496,-0.0805356612425197,-0.3549127189009269,-0.0799022164479764
-1.2,-0.3081144091357399,-0.04200914629716679,-0.3574862887125049,-0.09234202889519756,-0.7464130185208484,0.13246621724548954,-0.287310029941529,-0.05284385306391605,-0.2823009302738486,-0.054832224563441556,-0.2857377168262656,-0.05405255188145741
-1.0,-0.2628526277133138,-0.005842907740096319,-0.30153300465026944,-0.08020535697597432,-0.6363519934116606,0.16252421362750585,-0.23143834689009812,-0.0314502370237726,-0.22708659013542115,-0.033557859115011954,-0.22976173638119263,-0.032591267362514074
-0.7999999999999998,-0.22944367698521606,0.01977652459867056,-0.24191749635449322,-0.06780165986177532,-0.5459842610920567,0.189894015335497,-0.1854269693386013,-0.012722999515159428,-0.18154838653462196,-0.014779760975924441,-0.1843222578696634,-0.013874497120884635
-0.5999999999999996,-0.1968131629074744,0.04208827745018274,-0.18865033477420556,-0.05181013460376291,-0.4718666355428502,0.21474012723579455,-0.14782669355960631,0.005841297189037815,-0.14438601037228674,0.0038759535275159213,-0.14772082576091225,0.004729916896038119
